origin,destination,no_dev,population
1101,13101,80,38299
1101,13102,5,38299
1101,13103,7,38299
1101,13104,15,38299
1101,13105,11,38299
1101,13106,4,38299
1101,13107,33,38299
1101,13108,25,38299
1101,13109,9,38299
1101,13110,39,38299
1101,13111,3,38299
1101,13112,11,38299
1101,13113,13,38299
1101,13114,77,38299
1101,13115,17,38299
1101,13116,5,38299
1101,13117,16,38299
1101,13118,4,38299
1101,13119,44,38299
1101,13120,18,38299
1101,13121,8,38299
1101,13122,20,38299
1101,13123,44,38299
1101,13124,15,38299
1101,13125,21,38299
1101,13126,20,38299
1101,13127,28,38299
1101,13128,14,38299
1101,13129,5,38299
1101,13130,16,38299
1101,13131,3,38299
1101,13132,31,38299
1101,13201,10,38299
1101,13202,5,38299
1101,13203,3,38299
1101,13301,24,38299
1101,13302,10,38299
1101,13303,1,38299
1101,13401,24,38299
1101,13402,8,38299
1101,13403,4,38299
1101,13404,6,38299
1101,13501,3,38299
1101,13503,1,38299
1101,13504,1,38299
1101,13505,1,38299
1101,13601,6,38299
1101,13602,1,38299
1101,13603,5,38299
1101,13604,4,38299
1101,13605,4,38299
1107,13101,2,14532
1107,13102,3,14532
1107,13103,2,14532
1107,13104,5,14532
1107,13105,1,14532
1107,13107,4,14532
1107,13108,4,14532
1107,13109,1,14532
1107,13110,2,14532
1107,13111,1,14532
1107,13112,3,14532
1107,13113,1,14532
1107,13115,2,14532
1107,13116,1,14532
1107,13117,1,14532
1107,13118,2,14532
1107,13119,8,14532
1107,13120,1,14532
1107,13121,3,14532
1107,13122,1,14532
1107,13124,5,14532
1107,13125,7,14532
1107,13126,8,14532
1107,13127,3,14532
1107,13128,1,14532
1107,13129,2,14532
1107,13131,3,14532
1107,13132,4,14532
1107,13201,2,14532
1107,13202,1,14532
1107,13301,4,14532
1107,13302,4,14532
1107,13303,1,14532
1107,13401,2,14532
1107,13402,1,14532
1107,13403,1,14532
1107,13404,1,14532
1107,13501,3,14532
1107,13503,1,14532
1107,13504,1,14532
1107,13603,1,14532
1107,13604,2,14532
1401,13101,1,3218
1401,13104,2,3218
1401,13106,1,3218
1401,13107,3,3218
1401,13108,1,3218
1401,13109,1,3218
1401,13111,2,3218
1401,13112,2,3218
1401,13114,3,3218
1401,13116,1,3218
1401,13117,1,3218
1401,13119,2,3218
1401,13120,2,3218
1401,13121,1,3218
1401,13122,3,3218
1401,13123,2,3218
1401,13124,1,3218
1401,13125,3,3218
1401,13126,1,3218
1401,13127,4,3218
1401,13129,1,3218
1401,13132,2,3218
1401,13202,2,3218
1401,13301,5,3218
1401,13302,2,3218
1401,13401,2,3218
1401,13501,3,3218
1401,13504,1,3218
1401,13603,1,3218
1401,13604,1,3218
1402,13102,1,374
1402,13108,1,374
1403,13101,1,12
1404,13101,2,777
1404,13107,2,777
1404,13108,1,777
1404,13113,1,777
1404,13121,1,777
1404,13124,1,777
1404,13125,1,777
1404,13129,1,777
1404,13202,1,777
1404,13302,1,777
1404,13401,2,777
1404,13402,2,777
1404,13403,1,777
1404,13505,1,777
1404,13604,1,777
1405,13101,3,710
1405,13102,1,710
1405,13103,1,710
1405,13119,1,710
1405,13123,2,710
1405,13202,1,710
1405,13303,3,710
2101,13101,97,74495
2101,13102,12,74495
2101,13103,8,74495
2101,13104,18,74495
2101,13105,12,74495
2101,13106,9,74495
2101,13107,46,74495
2101,13108,25,74495
2101,13109,9,74495
2101,13110,60,74495
2101,13111,14,74495
2101,13112,14,74495
2101,13113,27,74495
2101,13114,81,74495
2101,13115,38,74495
2101,13116,5,74495
2101,13117,11,74495
2101,13118,11,74495
2101,13119,59,74495
2101,13120,51,74495
2101,13121,14,74495
2101,13122,29,74495
2101,13123,53,74495
2101,13124,28,74495
2101,13125,58,74495
2101,13126,31,74495
2101,13127,45,74495
2101,13128,36,74495
2101,13129,19,74495
2101,13130,8,74495
2101,13131,4,74495
2101,13132,53,74495
2101,13201,9,74495
2101,13202,4,74495
2101,13203,1,74495
2101,13301,46,74495
2101,13302,24,74495
2101,13303,4,74495
2101,13401,33,74495
2101,13402,10,74495
2101,13403,6,74495
2101,13404,9,74495
2101,13501,11,74495
2101,13503,7,74495
