home,geo_area_id,device,population,devices_pct
1101,13101,73,39302,0.19
1101,13102,12,39302,0.03
1101,13103,4,39302,0.01
1101,13104,15,39302,0.04
1101,13105,10,39302,0.03
1101,13106,22,39302,0.06
1101,13107,28,39302,0.06999999999999999
1101,13108,5,39302,0.01
1101,13109,8,39302,0.02
1101,13110,22,39302,0.06
1101,13111,5,39302,0.01
1101,13112,6,39302,0.02
1101,13113,18,39302,0.05
1101,13114,62,39302,0.16
1101,13115,14,39302,0.04
1101,13116,5,39302,0.01
1101,13117,6,39302,0.02
1101,13118,20,39302,0.05
1101,13119,46,39302,0.12
1101,13120,37,39302,0.09
1101,13122,23,39302,0.06
1101,13123,34,39302,0.09
1101,13124,16,39302,0.04
1101,13125,17,39302,0.04
1101,13126,16,39302,0.04
1101,13127,13,39302,0.03
1101,13128,6,39302,0.02
1101,13129,4,39302,0.01
1101,13130,15,39302,0.04
1101,13131,4,39302,0.01
1101,13132,9,39302,0.02
1101,13201,35,39302,0.09
1101,13202,3,39302,0.01
1101,13203,1,39302,0.0
1101,13301,16,39302,0.04
1101,13302,15,39302,0.04
1101,13303,2,39302,0.01
1101,13401,16,39302,0.04
1101,13402,11,39302,0.03
1101,13403,4,39302,0.01
1101,13404,10,39302,0.03
1101,13501,11,39302,0.03
1101,13503,1,39302,0.0
1101,13504,1,39302,0.0
1101,13601,4,39302,0.01
1101,13602,3,39302,0.01
1101,13603,1,39302,0.0
1101,13604,6,39302,0.02
1101,13605,14,39302,0.04
1107,13101,6,18444,0.03
1107,13103,3,18444,0.02
1107,13104,5,18444,0.03
1107,13105,3,18444,0.02
1107,13106,6,18444,0.03
1107,13107,3,18444,0.02
1107,13110,1,18444,0.01
1107,13111,2,18444,0.01
1107,13112,1,18444,0.01
1107,13114,2,18444,0.01
1107,13115,1,18444,0.01
1107,13116,2,18444,0.01
1107,13117,2,18444,0.01
1107,13118,3,18444,0.02
1107,13119,9,18444,0.05
1107,13122,2,18444,0.01
1107,13123,1,18444,0.01
1107,13124,4,18444,0.02
1107,13125,2,18444,0.01
1107,13126,5,18444,0.03
1107,13127,3,18444,0.02
1107,13128,2,18444,0.01
1107,13129,2,18444,0.01
1107,13130,1,18444,0.01
1107,13131,1,18444,0.01
1107,13132,1,18444,0.01
1107,13201,9,18444,0.05
1107,13202,1,18444,0.01
1107,13301,4,18444,0.02
1107,13302,3,18444,0.02
1107,13401,8,18444,0.04
1107,13402,4,18444,0.02
1107,13403,1,18444,0.01
1107,13404,2,18444,0.01
1107,13501,5,18444,0.03
1107,13505,1,18444,0.01
1107,13603,2,18444,0.01
1107,13604,2,18444,0.01
1107,13605,2,18444,0.01
1401,13101,5,4296,0.12
1401,13103,1,4296,0.02
1401,13104,1,4296,0.02
1401,13106,3,4296,0.06999999999999999
1401,13107,2,4296,0.05
1401,13109,1,4296,0.02
1401,13110,1,4296,0.02
1401,13112,1,4296,0.02
1401,13113,1,4296,0.02
1401,13114,4,4296,0.09
1401,13115,1,4296,0.02
1401,13116,1,4296,0.02
1401,13118,1,4296,0.02
1401,13119,7,4296,0.16
1401,13120,2,4296,0.05
1401,13122,3,4296,0.06999999999999999
1401,13123,7,4296,0.16
1401,13124,3,4296,0.06999999999999999
1401,13125,2,4296,0.05
1401,13126,1,4296,0.02
1401,13127,6,4296,0.13999999999999999
1401,13131,1,4296,0.02
1401,13201,4,4296,0.09
1401,13202,1,4296,0.02
1401,13301,6,4296,0.13999999999999999
1401,13302,2,4296,0.05
1401,13401,4,4296,0.09
1401,13402,2,4296,0.05
1401,13403,1,4296,0.02
1401,13404,1,4296,0.02
1401,13501,2,4296,0.05
1401,13505,4,4296,0.09
1401,13601,2,4296,0.05
1401,13602,1,4296,0.02
1404,13101,3,644,0.47000000000000003
1404,13102,1,644,0.16
1404,13108,1,644,0.16
1404,13122,1,644,0.16
1404,13123,1,644,0.16
1404,13128,2,644,0.31
1404,13130,1,644,0.16
1404,13301,1,644,0.16
1404,13302,1,644,0.16
1404,13402,1,644,0.16
1404,13501,1,644,0.16
1405,13101,2,1141,0.18
1405,13105,1,1141,0.09
1405,13106,1,1141,0.09
1405,13107,1,1141,0.09
1405,13119,1,1141,0.09
1405,13120,1,1141,0.09
1405,13125,1,1141,0.09
1405,13132,1,1141,0.09
1405,13302,1,1141,0.09
1405,13403,2,1141,0.18
1405,13601,2,1141,0.18
1405,13604,1,1141,0.09
1405,13605,1,1141,0.09
2101,13101,134,90403,0.15
2101,13102,6,90403,0.01
2101,13103,17,90403,0.02
2101,13104,17,90403,0.02
2101,13105,23,90403,0.03
2101,13106,33,90403,0.04
2101,13107,24,90403,0.03
2101,13108,12,90403,0.01
2101,13109,11,90403,0.01
2101,13110,52,90403,0.06
2101,13111,8,90403,0.01
2101,13112,12,90403,0.01
2101,13113,24,90403,0.03
2101,13114,125,90403,0.13999999999999999
2101,13115,38,90403,0.04
2101,13116,10,90403,0.01
2101,13117,11,90403,0.01
2101,13118,18,90403,0.02
2101,13119,79,90403,0.09
2101,13120,64,90403,0.06999999999999999
2101,13121,8,90403,0.01
2101,13122,41,90403,0.05
2101,13123,81,90403,0.09
2101,13124,42,90403,0.05
2101,13125,35,90403,0.04
2101,13126,32,90403,0.04
2101,13127,18,90403,0.02
2101,13128,13,90403,0.01
2101,13129,8,90403,0.01
2101,13130,25,90403,0.03
2101,13131,9,90403,0.01
2101,13132,17,90403,0.02
2101,13201,95,90403,0.11
2101,13202,4,90403,0.0
2101,13203,5,90403,0.01
2101,13301,55,90403,0.06
2101,13302,18,90403,0.02
2101,13303,8,90403,0.01
2101,13401,39,90403,0.04
2101,13402,21,90403,0.02
2101,13403,11,90403,0.01
2101,13404,11,90403,0.01
2101,13501,15,90403,0.02
2101,13503,6,90403,0.01
2101,13504,2,90403,0.0
2101,13601,14,90403,0.02
2101,13602,3,90403,0.0
2101,13603,1,90403,0.0
2101,13604,11,90403,0.01
2101,13605,12,90403,0.01
2102,13101,4,4363,0.09
2102,13104,2,4363,0.05
2102,13105,3,4363,0.06999999999999999
2102,13107,1,4363,0.02
2102,13109,1,4363,0.02
2102,13110,1,4363,0.02
2102,13111,2,4363,0.05
2102,13113,3,4363,0.06999999999999999
2102,13114,2,4363,0.05
2102,13115,1,4363,0.02
2102,13116,1,4363,0.02
2102,13117,1,4363,0.02
2102,13119,7,4363,0.16
2102,13120,1,4363,0.02
2102,13122,1,4363,0.02
2102,13123,6,4363,0.13999999999999999
2102,13124,2,4363,0.05
2102,13125,6,4363,0.13999999999999999
2102,13126,3,4363,0.06999999999999999
2102,13128,1,4363,0.02
2102,13132,1,4363,0.02
2102,13201,5,4363,0.11
2102,13301,1,4363,0.02
2102,13302,1,4363,0.02
2102,13303,1,4363,0.02
2102,13401,2,4363,0.05
2102,13402,2,4363,0.05
2102,13403,1,4363,0.02
2102,13501,1,4363,0.02
2102,13602,1,4363,0.02
2102,13605,4,4363,0.09
2103,13101,24,7706,0.31
2103,13102,1,7706,0.01
2103,13104,1,7706,0.01
2103,13105,7,7706,0.09
2103,13106,6,7706,0.08
2103,13107,9,7706,0.12
2103,13109,3,7706,0.04
2103,13110,16,7706,0.21
2103,13112,10,7706,0.13
2103,13113,9,7706,0.12
2103,13114,20,7706,0.26
2103,13115,2,7706,0.03
2103,13116,1,7706,0.01
2103,13117,1,7706,0.01
2103,13118,9,7706,0.12
2103,13119,15,7706,0.19
2103,13120,14,7706,0.18
2103,13121,2,7706,0.03
2103,13122,12,7706,0.16
2103,13123,11,7706,0.13999999999999999
2103,13124,13,7706,0.16999999999999998
2103,13125,9,7706,0.12
2103,13126,4,7706,0.05
2103,13127,4,7706,0.05
2103,13128,9,7706,0.12
2103,13129,2,7706,0.03
2103,13130,3,7706,0.04
2103,13131,2,7706,0.03
2103,13132,3,7706,0.04
2103,13201,19,7706,0.25
2103,13202,2,7706,0.03
2103,13203,1,7706,0.01
2103,13301,9,7706,0.12
2103,13302,4,7706,0.05
2103,13303,2,7706,0.03
2103,13401,11,7706,0.13999999999999999
2103,13402,6,7706,0.08
2103,13403,1,7706,0.01
2103,13404,4,7706,0.05
2103,13501,6,7706,0.08
2103,13503,2,7706,0.03
2103,13601,2,7706,0.03
2103,13602,3,7706,0.04
2103,13604,1,7706,0.01
2103,13605,2,7706,0.03
2104,13101,4,1869,0.21
2104,13104,1,1869,0.05
2104,13105,1,1869,0.05
2104,13106,2,1869,0.11
2104,13107,1,1869,0.05
2104,13108,1,1869,0.05
2104,13114,1,1869,0.05
2104,13120,1,1869,0.05
2104,13123,1,1869,0.05
2104,13125,1,1869,0.05
2104,13128,2,1869,0.11
2104,13131,1,1869,0.05
2104,13132,1,1869,0.05
2104,13301,6,1869,0.32
2104,13302,1,1869,0.05
2104,13501,1,1869,0.05
2201,13101,64,29884,0.21
2201,13102,1,29884,0.0
2201,13103,4,29884,0.01
2201,13104,2,29884,0.01
2201,13105,3,29884,0.01
2201,13106,20,29884,0.06999999999999999
2201,13107,7,29884,0.02
2201,13108,1,29884,0.0
2201,13109,4,29884,0.01
2201,13110,16,29884,0.05
2201,13111,3,29884,0.01
2201,13112,6,29884,0.02
2201,13113,9,29884,0.03
2201,13114,23,29884,0.08
2201,13115,6,29884,0.02
2201,13117,11,29884,0.04
2201,13118,9,29884,0.03
2201,13119,28,29884,0.09
2201,13120,18,29884,0.06
2201,13121,3,29884,0.01
2201,13122,8,29884,0.03
2201,13123,28,29884,0.09
2201,13124,11,29884,0.04
2201,13125,8,29884,0.03
2201,13126,11,29884,0.04
2201,13127,6,29884,0.02
2201,13128,6,29884,0.02
2201,13129,2,29884,0.01
2201,13130,12,29884,0.04
2201,13131,2,29884,0.01
2201,13132,4,29884,0.01
2201,13201,32,29884,0.11
