origin,destination,no_dev,population
13101,1101,124,108010
13101,1107,21,108010
13101,1401,6,108010
13101,1402,1,108010
13101,1404,1,108010
13101,2101,238,108010
13101,2102,11,108010
13101,2103,23,108010
13101,2104,1,108010
13101,2201,106,108010
13101,2203,8,108010
13101,2301,7,108010
13101,2302,1,108010
13101,3101,80,108010
13101,3102,22,108010
13101,3103,9,108010
13101,3201,13,108010
13101,3202,22,108010
13101,3301,18,108010
13101,3302,1,108010
13101,3303,1,108010
13101,3304,5,108010
13101,4101,128,108010
13101,4102,120,108010
13101,4103,2,108010
13101,4104,4,108010
13101,4105,1,108010
13101,4106,6,108010
13101,4201,3,108010
13101,4202,3,108010
13101,4203,32,108010
13101,4204,7,108010
13101,4301,64,108010
13101,4302,7,108010
13101,4303,10,108010
13101,4304,1,108010
13101,4305,1,108010
13101,5101,148,108010
13101,5102,16,108010
13101,5103,31,108010
13101,5105,37,108010
13101,5107,34,108010
13101,5109,321,108010
13101,5201,1,108010
13101,5301,32,108010
13101,5302,6,108010
13101,5303,6,108010
13101,5304,18,108010
13101,5401,25,108010
13101,5402,9,108010
13101,5403,24,108010
13101,5404,1,108010
13101,5405,7,108010
13101,5501,33,108010
13101,5502,9,108010
13101,5503,5,108010
13101,5504,13,108010
13101,5506,4,108010
13101,5601,44,108010
13101,5602,80,108010
13101,5603,24,108010
13101,5604,47,108010
13101,5605,48,108010
13101,5606,17,108010
13101,5701,31,108010
13101,5702,10,108010
13101,5703,6,108010
13101,5704,6,108010
13101,5705,17,108010
13101,5706,12,108010
13101,5801,82,108010
13101,5802,12,108010
13101,5803,11,108010
13101,5804,34,108010
13101,6101,124,108010
13101,6102,3,108010
13101,6103,6,108010
13101,6104,8,108010
13101,6105,15,108010
13101,6106,21,108010
13101,6107,48,108010
13101,6108,30,108010
13101,6109,4,108010
13101,6110,9,108010
13101,6111,5,108010
13101,6112,8,108010
13101,6113,7,108010
13101,6114,8,108010
13101,6115,27,108010
13101,6116,9,108010
13101,6117,24,108010
13101,6201,33,108010
13101,6202,2,108010
13101,6203,13,108010
13101,6204,2,108010
13101,6205,14,108010
13101,6206,11,108010
13101,6301,50,108010
13101,6302,6,108010
13101,6303,31,108010
13101,6304,1,108010
13101,6305,8,108010
13101,6306,7,108010
13101,6307,5,108010
13101,6308,4,108010
13101,6309,3,108010
13101,6310,23,108010
13101,7101,95,108010
13101,7102,14,108010
13101,7103,5,108010
13101,7104,2,108010
13101,7105,10,108010
13101,7106,4,108010
13101,7107,1,108010
13101,7108,3,108010
13101,7109,12,108010
13101,7110,1,108010
13101,7201,12,108010
13101,7202,1,108010
13101,7203,7,108010
13101,7301,62,108010
13101,7302,11,108010
13101,7303,9,108010
13101,7304,12,108010
13101,7305,6,108010
13101,7306,1,108010
13101,7307,3,108010
13101,7308,4,108010
13101,7309,2,108010
13101,7401,43,108010
13101,7402,15,108010
